dag_id,task_id,task_type,dag_submit_ms,task_ready_ms,scheduled_ms,start_ms,finish_ms,tier,datacenter_id,vm_id,duration_ms,length_mi,proj_edge_sec,proj_cloud_sec,input_bytes,output_bytes,gpu_mem_mb,gpu_util,queue_wait_ms,net_propagation_ms,net_tx_ms,net_total_ms
dag_d45ad95bbb6b4a43,sampler_0847a77f,sampler,209965,235160.90,235160.90,235162.34,235342.98,1,6,0,39.60,118,0.118,0.039,525102406,52510240,1001.55,0.67,0.00,-1,-1,0.00
dag_c4e115a430fa4905,sampler_1ded0193,sampler,218982,235221.90,235221.90,235223.34,235492.98,1,6,0,50.15,150,0.150,0.050,500840495,50084049,955.28,0.72,0.00,-1,-1,0.00
dag_155022839f4f4a4b,sampler_a45f3d82,sampler,198400,235221.90,235221.90,235223.34,235686.48,1,6,0,83.17,249,0.249,0.083,463277947,46327794,883.63,0.65,0.00,-1,-1,0.00
dag_b18505359df14b9d,vae_encode_9483cd05,vae_encode,235337,235337.00,235337.00,235338.44,238904.08,1,6,0,596.26,1788,1.788,0.596,1249005492,124900549,2382.29,0.92,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,unet_denoise_edcdef2a,unet_denoise,209965,235342.98,235342.98,235344.42,238977.65,1,6,0,605.21,1815,1.815,0.605,4730373906,473037390,9022.47,0.93,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,sampler_d497f0ea,sampler,209965,238977.65,238977.65,238979.09,239224.72,1,6,0,40.70,122,0.122,0.041,762144113,76214411,1453.67,0.82,0.00,-1,-1,0.00
dag_c4e115a430fa4905,unet_denoise_986e93ae,unet_denoise,218982,235492.98,235492.98,235494.42,240285.65,1,6,0,799.22,2397,2.397,0.799,3854028996,385402899,7350.98,0.46,0.00,-1,-1,0.00
dag_c4e115a430fa4905,sampler_228890b8,sampler,218982,240285.65,240285.65,240287.09,240568.72,1,6,0,46.96,140,0.140,0.047,492788194,49278819,939.92,0.93,0.00,-1,-1,0.00
dag_155022839f4f4a4b,unet_denoise_e8f8122b,unet_denoise,198400,235686.48,235686.48,235687.92,242310.23,1,6,0,1104.32,3312,3.312,1.104,2863678250,286367825,5462.03,0.85,0.00,-1,-1,0.00
dag_b18505359df14b9d,unet_denoise_e07d374f,unet_denoise,235337,238904.08,238904.08,238905.52,242380.80,1,6,0,578.47,1735,1.735,0.578,3828720763,382872076,7302.71,0.58,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,unet_denoise_42ef8de9,unet_denoise,209965,239224.72,239224.72,239226.16,242557.37,1,6,0,556.30,1668,1.668,0.556,3250730406,325073040,6200.28,0.58,0.00,-1,-1,0.00
dag_b18505359df14b9d,sampler_523e060b,sampler,235337,242380.80,242380.80,242382.24,242597.87,1,6,0,34.05,102,0.102,0.034,651936982,65193698,1243.47,0.68,0.00,-1,-1,0.00
dag_155022839f4f4a4b,sampler_563a4156,sampler,198400,242310.23,242310.23,242311.66,242778.45,1,6,0,80.12,240,0.240,0.080,625862432,62586243,1193.74,0.56,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,sampler_35964a8f,sampler,209965,242557.37,242557.37,242558.82,242803.30,1,6,0,39.60,118,0.118,0.039,596684410,59668441,1138.09,0.79,0.00,-1,-1,0.00
dag_c4e115a430fa4905,unet_denoise_90ce4221,unet_denoise,218982,240568.72,240568.72,240570.16,245257.08,1,6,0,767.71,2303,2.303,0.768,3270389071,327038907,6237.77,0.51,0.00,-1,-1,0.00
dag_c4e115a430fa4905,sampler_7ed89ab4,sampler,218982,245257.08,245257.08,245258.49,245665.10,1,6,0,52.85,158,0.158,0.053,538221070,53822107,1026.58,0.94,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,unet_denoise_9766af7d,unet_denoise,209965,242803.30,242803.30,242804.74,245914.37,1,6,0,479.85,1439,1.439,0.480,2418379578,241837957,4612.69,0.65,0.00,-1,-1,0.00
dag_b18505359df14b9d,unet_denoise_23641739,unet_denoise,235337,242597.87,242597.87,242599.31,245927.45,1,6,0,515.66,1546,1.546,0.515,2095049396,209504939,3995.99,0.51,0.00,-1,-1,0.00
dag_b18505359df14b9d,sampler_baf1dd1a,sampler,235337,245927.45,245927.45,245928.89,246254.07,1,6,0,36.50,109,0.109,0.036,391690849,39169084,747.09,0.92,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,sampler_c7bf9ac9,sampler,209965,245914.37,245914.37,245915.81,246277.14,1,6,0,41.93,125,0.125,0.042,652173088,65217308,1243.92,0.64,0.00,-1,-1,0.00
dag_820449270a0a4b03,vae_encode_4cd5fa62,vae_encode,244769,244769.00,244769.00,244770.44,249354.95,1,6,0,537.43,1612,1.612,0.537,926453624,92645362,1767.07,0.64,0.00,-1,-1,0.00
dag_71369a2d1e67416c,vae_encode_aefc9db1,vae_encode,245989,245989.00,245989.00,245990.44,249896.52,1,6,0,434.95,1304,1.304,0.435,1086611492,108661149,2072.55,0.67,0.00,-1,-1,0.00
dag_b18505359df14b9d,unet_denoise_e68f2aec,unet_denoise,235337,246254.07,246254.07,246255.51,250760.52,1,6,0,500.72,1502,1.502,0.501,2870638515,287063851,5475.31,0.57,0.00,-1,-1,0.00
dag_b18505359df14b9d,sampler_9e960ce1,sampler,235337,250760.52,250760.52,250761.96,251108.59,1,6,0,38.40,115,0.115,0.038,561712900,56171290,1071.38,0.65,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,unet_denoise_45642bc7,unet_denoise,209965,246277.14,246277.14,246278.58,251430.09,1,6,0,573.32,1719,1.719,0.573,2313893713,231389371,4413.40,0.68,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,sampler_1e71a032,sampler,209965,251430.09,251430.09,251431.53,251803.17,1,6,0,40.04,120,0.120,0.040,471796056,47179605,899.88,0.95,0.00,-1,-1,0.00
dag_c4e115a430fa4905,unet_denoise_b4fc84a1,unet_denoise,218982,245665.10,245665.10,245666.52,252272.72,1,6,0,752.95,2258,2.258,0.753,3067470811,306747081,5850.74,0.70,0.00,-1,-1,0.00
dag_c4e115a430fa4905,sampler_e33ff956,sampler,218982,252272.72,252272.72,252274.16,252738.30,1,6,0,60.36,181,0.181,0.060,555299298,55529929,1059.15,0.77,0.00,-1,-1,0.00
dag_b18505359df14b9d,unet_denoise_7ae3f40d,unet_denoise,235337,251108.59,251108.59,251110.02,254836.24,1,6,0,482.55,1447,1.447,0.482,3282241912,328224191,6260.38,0.71,0.00,-1,-1,0.00
dag_b18505359df14b9d,sampler_85a6b028,sampler,235337,254836.24,254836.24,254837.68,255121.82,1,6,0,36.52,109,0.109,0.036,414002852,41400285,789.65,0.95,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,unet_denoise_a3c3b3c2,unet_denoise,209965,251803.17,251803.17,251804.61,255885.82,1,6,0,544.71,1634,1.634,0.545,2263999543,226399954,4318.24,0.52,0.00,-1,-1,0.00
dag_71369a2d1e67416c,unet_denoise_10aed196,unet_denoise,245989,249896.52,249896.52,249897.96,255970.90,1,6,0,768.67,2306,2.306,0.769,3918704430,391870443,7474.34,0.87,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,sampler_b99e2c23,sampler,209965,255885.82,255885.82,255887.26,256221.48,1,6,0,43.90,131,0.131,0.044,554963761,55496376,1058.51,0.73,0.00,-1,-1,0.00
dag_71369a2d1e67416c,sampler_bf53e4a6,sampler,245989,255970.90,255970.90,255972.34,256336.56,1,6,0,47.97,143,0.143,0.048,545629763,54562976,1040.71,0.92,0.00,-1,-1,0.00
dag_820449270a0a4b03,unet_denoise_467c78d4,unet_denoise,244769,249354.95,249354.95,249356.39,257905.10,1,6,0,1088.93,3266,3.266,1.089,3546756434,354675643,6764.90,0.55,0.00,-1,-1,0.00
dag_c4e115a430fa4905,unet_denoise_ed3350d1,unet_denoise,218982,252738.30,252738.30,252739.74,257999.10,1,6,0,702.47,2107,2.107,0.702,2606489514,260648951,4971.48,0.93,0.00,-1,-1,0.00
dag_c4e115a430fa4905,sampler_2600e915,sampler,218982,257999.10,257999.10,258000.54,258387.60,1,6,0,50.53,151,0.151,0.050,365057442,36505744,696.29,0.79,0.00,-1,-1,0.00
dag_820449270a0a4b03,sampler_566d69ce,sampler,244769,257905.10,257905.10,257906.54,258400.69,1,6,0,63.79,191,0.191,0.064,722017507,72201750,1377.14,0.74,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,unet_denoise_16a5ef43,unet_denoise,209965,256221.48,256221.48,256222.92,259584.03,1,6,0,477.67,1432,1.432,0.477,2083121811,208312181,3973.24,0.69,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,sampler_2c1b25b6,sampler,209965,259584.03,259584.03,259585.47,259791.10,1,6,0,34.14,102,0.102,0.034,460571118,46057111,878.47,0.44,0.00,-1,-1,0.00
dag_71369a2d1e67416c,unet_denoise_49a294f0,unet_denoise,245989,256336.56,256336.56,256337.99,262162.10,1,6,0,893.72,2681,2.681,0.894,2596134699,259613469,4951.73,0.80,0.00,-1,-1,0.00
